"Identifikator";"Firma";"Zusatz";"PLZ";"Ort";"Status";"Bemerkung"
"108690 12345";"Einwohnergemeinde Lommiswil";"";"4514";"Lommiswil";"AKTIV";""
"108700 12345";"Einwohnergemeinde Zuchwil";"";"4528";"Zuchwil";"AKTIV";""
"108710 12345";"Elektrizitätsgenossenschaft Schangnau";"";"6197";"Schangnau";"AKTIV";""
"108720 12345";"Elektra Berneck";"";"9442";"Berneck";"AKTIV";""
"108730 12345";"Elektrizitätsversorgung der Gemeinde Warth-Weiningen";"";"8532";"Warth";"AKTIV";""
"108740 12345";"Elektrizitätsversorgung Bargen";"";"3282";"Bargen";"AKTIV";""
"108750 12345";"Comune di Poschiavo";"Impresa Elettrica Comunale";"7742";"Poschiavo";"AKTIV";""
"108760 12345";"Elektra Wolfwil";"";"4628";"Wolfwil";"AKTIV";""
"108770 12345";"Elektrizitätsversorgung Berikon EVB";"";"8965";"Berikon";"AKTIV";""
"108780 12345";"Elektrizitätswerk der politischen Gemeinde Münsterlingen";"";"8596";"Münsterlingen";"AKTIV";""
"108790 12345";"Elektrakorporation Dangwang";"";"8554";"Bonau";"AKTIV";""
"108800 12345";"Genossenschaft Elektra Egnach";"";"9322";"Egnach";"PASSIV";"Elektra Korporation Ringenzeichen, 9315 Neukirch (Egnach)  (Fusion per 1.10.2009)"
"108810 12345";"Elektra Besenbüren";"Schamo Schaltanlagenbau GmbH";"5627";"Besenbüren";"AKTIV";""
"108820 12345";"Viteos SA";"";"2000";"Neuchâtel";"AKTIV";""
"108830 12345";"SEDRE SA";"";"1934";"Le Châble VS";"PASSIV";"Ehemals: Service Electrique de la Commune de Vollèges, 1941 Vollèges (bis 31.12.2016)"
"108840 12345";"VED Visp Energie Dienste AG";"";"3930";"Visp";"AKTIV";""
"108850 12345";"EVWR Energiedienste Visp-Westlich Raron AG";"c/o EnAlpin AG";"3930";"Visp";"AKTIV";""
"108860 12345";"EVR Energieversorgung Raron AG";"c/o EnAlpin AG";"3930";"Visp";"AKTIV";""
"108870 12345";"EVN Energieversorgung Nikolai AG";"";"3930";"Visp";"AKTIV";""
"108880 12345";"VED Visp Energie Dienste AG";"";"3930";"Visp";"PASSIV";"Ehemals: ENAG Energiedienste Niedergesteln AG, 3930 Visp (Fusion 2013 mit VED Visp Energiedienste)"
"108890 12345";"Services industriels";"Commune de Massongex";"1869";"Massongex";"AKTIV";""
"108900 12345";"Elektra-Genossenschaft Siglistorf-Wislikofen-Mellstorf";"c/o Gemeindeverwaltung";"5462";"Siglistorf";"AKTIV";"Ehemals: Elektra Genossenschaft Wislikofen-Mellstorf, 5463 Wislikofen (Fusion 2011)"
"108910 12345";"Società Semplice Comuni Concedenti ELIN";"c/o Aziende Elettriche del Moesano";"6562";"Soazza";"AKTIV";""
"108920 12345";"Elektrokorporation Wald-St. Peterzell";"";"9105";"Schönengrund";"AKTIV";""
"108930 12345";"Elektrizitäts-Genossenschaft Schönholzerswilen";"";"8577";"Schönholzerswilen";"PASSIV";"Ehemals: Elektra-Korporation Ritzisbuhwil-Metzgersbuhwil, 8577 Schönholzerswilen (Fusion 2012)"
"108940 12345";"Gemeindeverwaltung Wuppenau";"Elektrizitätsversorgung";"9514";"Wuppenau";"AKTIV";"Ehemals: Elektra Wuppenau, 9514 Wuppenau"
"108950 12345";"Azienda Elettrica Buseno";"c/o Aziende Elettriche del Moesano";"6562";"Soazza";"AKTIV";""
"108960 12345";"Azienda Elettrica Cama";"";"6557";"Cama";"AKTIV";""
"108970 12345";"Media Mesolcina Energia";"";"6562";"Soazza";"PASSIV";"Ehemals: Azienda Elettrica Leggia, 6556 Leggia (Fusion der ""Azienda Elettrica Comunale Soazza"", der ""Azienda Elettrica Lostallo"" und der ""Azienda Elettrica Leggia"" per 1.1.2020)"
"108980 12345";"Elektra Raperswilen";"";"8558";"Raperswilen";"AKTIV";""
"108990 12345";"Elektrizitätsgenossenschaft Schwenden";"";"3757";"Schwenden im Diemtigtal";"AKTIV";""
"109000 12345";"VED Visp Energie Dienste AG";"";"3930";"Visp";"PASSIV";"Ehemals: EDB Energie Dienste Bürchen, 3930 Visp (Fusion 2014 mit VED Visp Energiedienste)"
"109010 12345";"Elektrizitäts- und Wasserwerk Niederwil (EWN)";"";"5524";"Niederwil AG";"AKTIV";""
"109020 12345";"EW Hüttlingen";"";"8553";"Hüttlingen-Mettendorf";"AKTIV";""
"109030 12345";"Service Electrique de Liddes";"SEL";"1945";"Liddes";"AKTIV";""
"109040 12345";"Elektrizitätsversorgung der Gemeinde Widnau";"";"9443";"Widnau";"AKTIV";""
"109050 12345";"Elektrizitätsversorgung der Gemeinde Rickenbach";"";"9532";"Rickenbach b. Wil";"AKTIV";""
"109060 12345";"Elektrizitäts- und Wasserversorgung Au";"";"9434";"Au SG";"AKTIV";""
"109070 12345";"Gemeinde Albula/Alvra";"Elektrizitätsversorgung";"7450";"Tiefencastel";"PASSIV";"Ehemals: Elektrizitätsversorgung der Gemeinde Mon, 7458 Mon (bis 2015)"
"109080 12345";"Elektrizitätswerk der politischen Gemeinde Hüttwilen";"Ressort Werke, IT/EDV und Medien";"8536";"Hüttwilen";"AKTIV";""
"109090 12345";"Elektrizitätsversorgungsunternehmen (EVU) Täsch";"";"3929";"Täsch";"AKTIV";""
"109100 12345";"St. Gallisch-Appenzellische Kraftwerke AG";"";"9000";"St. Gallen";"PASSIV";"Ehemals: Beleuchtungskorporation Schlatt-Gublen, 9650 Nesslau (Übernahme 2019)"
"109110 12345";"EE-ENERGIA ENGIADINA";"";"7550";"Scuol";"PASSIV";"Ehemals: Elektrizitätswerk der Gemeinde Ramosch, 7556 Ramosch (bis 2011)"
"109120 12345";"Gemeinde Zernez";"Abteiling Elektrizität";"7530";"Zernez";"AKTIV";""
"109130 12345";"EE-ENERGIA ENGIADINA";"";"7550";"Scuol";"PASSIV";"Ehemals: Elektrizitätswerk der Gemeinde Ftan, 7551 Ftan (bis 2012)"
